2024-04-06 19:13:36.597Z | Internal            | Logger         | Started logging.
2024-04-06 19:18:10.748Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) gave Coin to Inn (76561198942935069@steam).
2024-04-06 19:18:10.880Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) gave Coin to Inn (76561198942935069@steam).
2024-04-06 19:18:16.448Z | Remote Admin        | Administrative | asrielpaluchaetsa#0 (292999973513986049@discord) clear all effects for player asrielpaluchaetsa#0 (292999973513986049@discord).
2024-04-06 19:20:22.402Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) gave Coin to Inn (76561198942935069@steam).
2024-04-06 19:20:37.553Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) gave Coin to Inn (76561198942935069@steam).
2024-04-06 19:21:00.854Z | Remote Admin        | Administrative | asrielpaluchaetsa#0 (292999973513986049@discord) teleported themself to player Inn (76561198942935069@steam).
2024-04-06 19:21:17.555Z | Remote Admin        | Class change   | Inn (76561198942935069@steam) changed role of player Inn (76561198942935069@steam) to Tutorial.
2024-04-06 19:21:32.821Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) gave Coin to Inn (76561198942935069@steam).
2024-04-06 19:22:20.690Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) gave Coin to Inn (76561198942935069@steam).
2024-04-06 19:22:31.474Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) gave Coin to Inn (76561198942935069@steam).
2024-04-06 19:22:46.574Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) teleported player Inn (76561198942935069@steam) to door 049_ARMORY.
2024-04-06 19:24:03.143Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) teleported themself to player asrielpaluchaetsa#0 (292999973513986049@discord).
2024-04-06 19:25:30.126Z | Remote Admin        | Class change   | Inn (76561198942935069@steam) changed role of player Inn (76561198942935069@steam) to Tutorial.
2024-04-06 19:25:32.306Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) gave Coin to Inn (76561198942935069@steam).
2024-04-06 19:25:46.705Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) gave Coin to Inn (76561198942935069@steam).
2024-04-06 19:26:00.223Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) gave Coin to Inn (76561198942935069@steam).
2024-04-06 19:26:13.507Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) gave Coin to Inn (76561198942935069@steam).
2024-04-06 19:26:28.059Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) administratively disarmed Inn (76561198942935069@steam).
2024-04-06 19:26:30.124Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) administratively disarmed Inn (76561198942935069@steam).
2024-04-06 19:26:38.009Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) administratively released , Inn (76561198942935069@steam).
2024-04-06 19:26:39.424Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) administratively disarmed Inn (76561198942935069@steam).
2024-04-06 19:26:39.624Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) administratively disarmed Inn (76561198942935069@steam).
2024-04-06 19:26:39.824Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) administratively disarmed Inn (76561198942935069@steam).
2024-04-06 19:26:39.974Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) administratively disarmed Inn (76561198942935069@steam).
2024-04-06 19:26:40.191Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) administratively disarmed Inn (76561198942935069@steam).
2024-04-06 19:26:40.374Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) administratively disarmed Inn (76561198942935069@steam).
2024-04-06 19:26:40.591Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) administratively disarmed Inn (76561198942935069@steam).
2024-04-06 19:26:40.774Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) administratively disarmed Inn (76561198942935069@steam).
2024-04-06 19:26:42.408Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) gave GunShotgun to Inn (76561198942935069@steam).
2024-04-06 19:27:15.395Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) applied a status effect MovementBoost for player Inn (76561198942935069@steam). Intensity: 50 - Duration: 1000.
